ReactionFormula,RelativeFlux
C00010 + C00022 <=> C00024 + C00058,484.2447761194029
C00092 <=> C00085,10.0
C00197 + C00002 <=> C00236 + C00008,185.89930348258702
C00631 <=> C00197,185.89930348258702
C00002 + C00001 <=> C00008 + C00080 + C00009,8.39
C00002 + C00036 <=> C00008 + C00011 + C00074,978.9930348258707
C00026 + C00010 + C00003 <=> C00011 + C00004 + C00091,10.50348258706475
C00008 + 4.00 C00080 + C00009 <=> C00002 + C00001 + 3.00 C00080,842.95855721393
C00008 + C00080 + C00074 <=> C00002 + C00022,474.2447761194029
C00199 <=> C00231,-51.474825870646754
C00117 <=> C00199,-51.474825870646754
2.00 C00080 + 0.50 C00007 + C00390 <=> C00001 + 2.00 C00080 + C00399,1000.0
C00631 <=> C00001 + C00074,-185.89930348258702
C00399 + C00042 <=> C00122 + C00390,494.74825870646765
C00002 + C00010 + C00042 <=> C00008 + C00009 + C00091,-10.50348258706475
C00661 + C05382 <=> C00279 + C00085,51.474825870646754
C00117 + C00231 <=> C00661 + C05382,51.474825870646754
C00279 + C00231 <=> C00085 + C00661,-102.94965174129351
C00111 <=> C00661,-41.47482587064676
C00354 <=> C00111 + C00661,-41.47482587064676
C00354 + C00001 <=> C00085 + C00009,41.47482587064676
C00122 + C00001 <=> C00149,494.74825870646765
C00661 + C00003 + C00009 <=> C00236 + C00080 + C00004,-185.89930348258702
C00031 + C00074 <=> C00092 + C00022,10.0
C00025 + C00001 + C00006 <=> C00026 + C00080 + C00005 + C00014,340.32378109452736
C00311 + C00006 <=> C00026 + C00011 + C00005,-484.2447761194029
C00311 <=> C00048 + C00042,484.2447761194029
C00024 + C00048 + C00001 <=> C00010 + C00080 + C00149,484.2447761194029
C00149 + C00003 <=> C00080 + C00004 + C00036,978.9930348258707
4.00 C00080 + C00004 + C00399 <=> 3.00 C00080 + C00003 + C00390,505.2517412935324
C00279 + C00074 + C00001 <=> C04691 + C00009,154.42447761194032
C04691 <=> C00944 + C00009,154.42447761194032
C00944 <=> C02637 + C00001,154.42447761194032
C02637 + C00005 + C00080 <=> C00493 + C00006,-143.9209950248756
C02637 + C00004 + C00080 <=> C00493 + C00003,298.34547263681594
C00493 + C00002 <=> C03175 + C00008,154.42447761194038
C00074 + C03175 <=> C01269 + C00009,154.42447761194038
C01269 <=> C00251 + C00009,154.42447761194038
C00251 <=> C00254,154.42447761194038
C00254 + C00003 <=> C00004 + C00080 + C00011 + C01197,154.42447761194038
C01197 + C00025 <=> C00082 + C00026,154.42447761194038
C00082 + C00004 + C00080 + C00007 <=> C00355 + C00003 + C00001,154.42447761194038
