!!!SBtab SBtabVersion='1.0' Document='model' Date='2020-3-5'							
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2020-3-5'							
!ID	!Name	!ReactionFormula	!Identifiers:kegg.reaction				
R_6_phosphof_R00756	R_6_phosphof_R00756	C_atp + C_d_fructose_6_phosphoric_acid <=> C_adp + C_d_fructose_16_bisphosphate	R00756				
R_phosphohex_R00771	R_phosphohex_R00771	C_glucose_6_phosphate <=> C_d_fructose_6_phosphoric_acid	R00771				
R_phosphogly_R01512	R_phosphogly_R01512	C_3_phospho_d_glycerate + C_atp <=> C_3_phospho_d_glyceroyl_phosphate + C_adp	R01512				
R_phosphogly_R01518	R_phosphogly_R01518	C_2_phospho_d_glycerate <=> C_3_phospho_d_glycerate	R01518				
R_aconitate__R01325	R_aconitate__R01325	C_citrate <=> C_cis_aconitate + C_h2o	R01325				
R_aconitate__R01900	R_aconitate__R01900	C_cis_aconitate + C_h2o <=> C_isocitrate	R01900				
R_pyruvate_w_R00199	R_pyruvate_w_R00199	C_atp + C_pyruvate + C_h2o <=> C_amp + C_phosphoenolpyruvate + C_orthophosphate	R00199				
R_adenylate__R00127	R_adenylate__R00127	C_amp + C_atp <=> 2 C_adp	R00127				
R_diaphorase_R08549	R_diaphorase_R08549	C_2_oxoglutarate + C_coa + C_nad <=> C_co2 + C_nadh + C_succinyl_coa	R08549				
R_ribulose_p_R01529	R_ribulose_p_R01529	C_d_ribulose_5_phosphate <=> C_d_xylulose_5_phosphate	R01529				
R_citrate_re_R00351	R_citrate_re_R00351	C_acetyl_coa + C_oxaloacetate + C_h2o <=> C_citrate + C_coa	R00351				
R_ribose_5_p_R01056	R_ribose_5_p_R01056	C_d_ribose_5_phosphate <=> C_d_ribulose_5_phosphate	R01056				
R_ubiquinol__R09504	R_ubiquinol__R09504	0.5 C_oxygen + C_ubiquinol <=> C_ubiquinone + C_h2o	R09504				
R_phosphopyr_R00658	R_phosphopyr_R00658	C_2_phospho_d_glycerate <=> C_phosphoenolpyruvate + C_h2o	R00658				
R_succinate__R02164	R_succinate__R02164	C_ubiquinone + C_succinate <=> C_fumarate + C_ubiquinol	R02164				
R_stk_R00405	R_stk_R00405	C_atp + C_coa + C_succinate <=> C_adp + C_orthophosphate + C_succinyl_coa	R00405				
R_RXN_Q00094	R_RXN_Q00094	C_dl_glyceraldehyde_3_phosphate + C_d_sedoheptulose_7_phosphate <=> C_d_erythrose_4_phosphate + C_d_fructose_6_phosphoric_acid					
R_RXN_Q00095	R_RXN_Q00095	C_d_ribose_5_phosphate + C_d_xylulose_5_phosphate <=> C_dl_glyceraldehyde_3_phosphate + C_d_sedoheptulose_7_phosphate					
R_RXN_Q00096	R_RXN_Q00096	C_d_erythrose_4_phosphate + C_d_xylulose_5_phosphate <=> C_d_fructose_6_phosphoric_acid + C_dl_glyceraldehyde_3_phosphate					
R_RXN_Q00097	R_RXN_Q00097	C_glycerone_phosphate <=> C_dl_glyceraldehyde_3_phosphate					
R_RXN_Q00098	R_RXN_Q00098	C_d_fructose_16_bisphosphate <=> C_glycerone_phosphate + C_dl_glyceraldehyde_3_phosphate					
R_fumarate_h_R01082	R_fumarate_h_R01082	C_fumarate + C_h2o <=> C_s_malate	R01082				
R_RXN_Q00099	R_RXN_Q00099	C_dl_glyceraldehyde_3_phosphate + C_nad + C_orthophosphate <=> C_3_phospho_d_glyceroyl_phosphate + C_nadh					
R_RXN_Q00100	R_RXN_Q00100	C_d_glucose + C_phosphoenolpyruvate <=> C_glucose_6_phosphate + C_pyruvate					
R_glutamic_d_R00248	R_glutamic_d_R00248	C_l_glutamate + C_nadp + C_h2o <=> C_2_oxoglutarate + C_nadph + C_nh3	R00248				
R_idp_R00267	R_idp_R00267	C_isocitrate + C_nadp <=> C_2_oxoglutarate + C_co2 + C_nadph	R00267				
R_malate_deh_R00342	R_malate_deh_R00342	C_s_malate + C_nad <=> C_nadh + C_oxaloacetate	R00342				
R_nadhubiqui_R02163	R_nadhubiqui_R02163	C_nadh + C_ubiquinone <=> C_nad + C_ubiquinol	R02163				
R_diaphorase_R00209	R_diaphorase_R00209	C_coa + C_nad + C_pyruvate <=> C_acetyl_coa + C_co2 + C_nadh	R00209				
R_3_deoxy_7__R01826	R_3_deoxy_7__R01826	C_d_erythrose_4_phosphate + C_phosphoenolpyruvate + C_h2o <=> C_2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate + C_orthophosphate	R01826				
R_3_dehydroq_R03083	R_3_dehydroq_R03083	C_2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate <=> C_3_dehydroquinate + C_orthophosphate	R03083				
R_3_dehydroq_R03084	R_3_dehydroq_R03084	C_3_dehydroquinate <=> C_3_dehydroshikimate + C_h2o	R03084				
R_shikimate__R02413	R_shikimate__R02413	C_3_dehydroshikimate + C_nadph <=> C_shikimate + C_nadp	R02413				
R_quinateshi_R06847	R_quinateshi_R06847	C_3_dehydroshikimate + C_nadh <=> C_shikimate + C_nad	R06847				
R_shikimate__R02412	R_shikimate__R02412	C_shikimate + C_atp <=> C_shikimate_3_phosphate + C_adp	R02412				
R_3_phosphos_R03460	R_3_phosphos_R03460	C_phosphoenolpyruvate + C_shikimate_3_phosphate <=> C_5_o_1_carboxyvinyl_3_phosphoshikimate + C_orthophosphate	R03460				
R_chorismate_R01714	R_chorismate_R01714	C_5_o_1_carboxyvinyl_3_phosphoshikimate <=> C_chorismate + C_orthophosphate	R01714				
R_chorismate_R01715	R_chorismate_R01715	C_chorismate <=> C_prephenate	R01715				
R_hydroxyphe_R01728	R_hydroxyphe_R01728	C_prephenate + C_nad <=> C_nadh + C_co2 + C_3_4_hydroxyphenylpyruvate	R01728				
R_tyrosine_t_R00734	R_tyrosine_t_R00734	C_3_4_hydroxyphenylpyruvate + C_l_glutamate <=> C_l_tyrosine + C_2_oxoglutarate	R00734				
R_RXN_Q00101	R_RXN_Q00101	C_l_tyrosine + C_nadh + C_oxygen <=> C_34_dihydroxy_l_phenylalanine + C_nad + C_h2o					
							
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2020-3-5'							
!ID	!Name	!Identifiers:kegg.compound	!IsConstant				
C_cis_aconitate	C_cis_aconitate	C00417	FALSE				
C_l_glutamate	C_l_glutamate	C00025	FALSE				
C_ubiquinol	C_ubiquinol	C00390	FALSE				
C_atp	C_atp	C00002	FALSE				
