,fluxes
PFK,8.30589928057554
PGI,10.0
PGK,-13.223597122302158
PGM,-13.223597122302158
ACONTa,3.058992805755395
ACONTb,3.058992805755395
ATPM,8.39
PPS,6.941007194244605
ADK1,6.941007194244605
AKGDH,3.058992805755395
ATPS4r,19.377625899280567
CO2t,-14.259280575539567
RPE,-1.6941007194244602
CS,3.058992805755395
RPI,-1.6941007194244602
CYTBD,18.353956834532365
ENO,13.223597122302158
SUCDi,3.058992805755395
SUCOAS,-3.058992805755395
TALA,1.6941007194244602
TKT1,1.6941007194244602
TKT2,-3.3882014388489203
TPI,8.30589928057554
EX_co2_e,14.259280575539567
EX_glc__D_e,-10.0
EX_h_e,5.082302158273372
EX_h2o_e,39.67079136690646
EX_nh4_e,-5.082302158273382
EX_o2_e,-14.259280575539565
FBA,8.30589928057554
FUM,3.058992805755395
GAPD,13.223597122302158
GLCpts,10.0
GLUDy,-5.082302158273382
H2Ot,-39.67079136690646
ICDHyr,3.058992805755395
MDH,3.058992805755395
NADH16,15.29496402877697
NH4t,5.082302158273382
O2t,14.259280575539565
PDH,3.058992805755395
dahp_synth,5.082302158273382
dhq_synth,5.082302158273382
DHquinase_I,5.082302158273382
shikimate_dh,-2.0233093525179875
shikimate_dh_nadh,7.10561151079137
ski,5.082302158273382
epsp_synth,5.082302158273382
chorismate_synth,5.082302158273382
chorismate_mut,5.082302158273382
prephenate_dh,5.082302158273382
aromatic_aminotransferase,5.082302158273382
hpaBC,5.082302158273382
levdopa_t,5.082302158273382
EX_levdopa_e,5.082302158273382
