,fluxes
PFL,484.24477611940296
PGI,10.0
PGK,185.89930348258704
PGM,185.89930348258704
PIt2r,-2.2737367544323206e-13
ATPM,8.39
PPCK,978.9930348258706
AKGDH,10.503482587064752
ATPS4r,842.9585572139301
PYK,474.24477611940296
CO2t,-659.6762189054728
RPE,-51.47482587064676
RPI,-51.47482587064676
CYTBD,1000.0
ENO,-185.89930348258704
SUCDi,494.74825870646765
SUCOAS,-10.503482587064752
TALA,51.47482587064676
TKT1,51.47482587064676
TKT2,-102.94965174129352
TPI,-41.47482587064676
EX_co2_e,659.6762189054728
EX_for_e,484.24477611940296
EX_glc__D_e,-10.0
EX_glu__L_e,-494.7482587064677
EX_h_e,-350.82726368159103
EX_h2o_e,442.3020895522384
EX_nh4_e,340.32378109452736
EX_o2_e,-654.4244776119403
EX_pi_e,2.2737367544323206e-13
FBA,-41.47482587064676
FBP,41.47482587064676
FORti,-484.24477611940296
FUM,494.74825870646765
GAPD,-185.89930348258704
GLCpts,10.0
GLUDy,340.32378109452736
GLUt2r,494.7482587064677
H2Ot,-442.3020895522384
ICDHyr,-484.24477611940296
ICL,484.24477611940296
MALS,484.24477611940296
MDH,978.9930348258706
NADH16,505.25174129353235
NH4t,-340.32378109452736
O2t,654.4244776119403
dahp_synth,154.4244776119403
dhq_synth,154.4244776119403
DHquinase_I,154.4244776119403
shikimate_dh,-143.9209950248756
shikimate_dh_nadh,298.34547263681594
ski,154.42447761194035
epsp_synth,154.42447761194035
chorismate_synth,154.42447761194035
chorismate_mut,154.42447761194035
prephenate_dh,154.42447761194035
aromatic_aminotransferase,154.42447761194035
hpaBC,154.42447761194035
levdopa_t,154.42447761194035
EX_levdopa_e,154.42447761194035
