,fluxes
PFK,3.3560000000000003
PGI,3.3560000000000003
PGK,-6.712000000000001
ACALD,-6.712000000000001
PGM,-6.712000000000001
ALCD2x,-6.712000000000001
ATPM,8.39
ATPS4r,1.6780000000000004
PYK,3.3560000000000003
CO2t,-6.712000000000001
ENO,6.712000000000001
ETOHt2r,-6.712000000000001
TPI,3.3560000000000003
EX_co2_e,6.712000000000001
EX_etoh_e,6.712000000000001
EX_glc__D_e,-3.356
EX_h_e,-8.881784197001252e-16
FBA,3.3560000000000003
GAPD,6.712000000000001
GLCpts,3.3560000000000003
PDH,6.712000000000001
